nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,IPA,MotVedette,hwd,pronSampa,ipa,sizePron
3,cŏnceiʹted,,,,a.,54.0,55,,conceited,conceited,k @ n s i: 4 @ d,kənsiːɾəd,10
2,cŏnceiʹve,F.,,,v.,55.0,55,,conceive,conceive,k @ n s i: v,kənsiːv,9
3,cŏncĕʹntric,,,,a.,57.0,55,,concentric,concentric,k @ n s E n t r\ i k,kənsɛntɹik,11
4,cŏncĕʹption,,,,n.,58.0,55,,conception,conception,k @ n s E p S @ n,kənsɛpʃən,11
2,cŏncĕʹrn,F.,,,n.,59.0,55,,concern,concern,k @ n s 3:r n,kənsɜ:rn,8
2,concĕʹrt,F.,,,v.,60.0,55,,concert,concert,k A n s 3:r t,kɑnsɜ:rt,8
4,cŏncĕʹſſion,L.,,,n.,61.0,55,,concession,concession,k @ n s E S @ n,kənsɛʃən,11
2,cŏncīʹſe,L.,,,a.,63.0,55,,concise,concise,k @ n s aI s,kəns?s,8
2,cŏnclūʹde,L.,,,v.,64.0,55,,conclude,conclude,k @ n k l u d,kənklud,9
4,cŏnclūʹſion,L.,,,n.,65.0,55,,conclusion,conclusion,k @ n k l u Z @ n,kənkluʒən,11
4,cŏncŏʹction,L.,,,n.,66.0,55,,concoction,concoction,k @ n k A k S @ n,kənkɑkʃən,11
4,cŏncŏmĭtant,L.,nbSyll>1 et pas d'accent tonic,,a.,67.0,55,,concomitant,concomitant,k A n k A m @ t @ n t,kɑnkɑmətənt,11
2,cŏʹncŏrd,L.,,,n.,68.0,55,,concord,concord,k A n k O: r\ d,kɑnkOːɹd,8
2,cŏʹncŏ_u_rſe,L.,,,n.,70.0,55,,concourse,concourse,k A n k O: r\ s,kɑnkOːɹs,12
2,cŏncrēʹte,L.,,,a.,71.0,55,,concrete,concrete,k @ n k r\ i: t,kənkɹiːt,9
4,cŏncūbĭʹnage,,,,n.,2.0,56,,concubinage,concubinage,k A n k j u b @ n @ dZ,kɑnkjubənə?,12
3,cŏʹncūbīne,L.,,,n.,3.0,56,,concubine,concubine,k A n k j @ b aI n,kɑnkjəb?n,10
2,concŭʹr,,,,v.,5.0,56,,concur,concur,k @ n k 3:r,kənkɜ:r,7
3,concŭʹrrĕnce,,,,n.,6.0,56,,concurrence,concurrence,k @ n k 3:r @ n s,kənkɜ:rəns,12
4,concŭʹſſion,F.,,,n.,7.0,56,,concussion,concussion,k @ n k V S @ n,kənkʌʃən,11
2,cŏndĕʹm_n_,L.,,,v.,8.0,56,,condemn,condemn,k @ n d E m,kəndɛm,10
5,cŏndĕmnāʹtion,L.,,,n.,9.0,56,,condemnation,condemnation,k A n d @ m n eI S @ n,kɑndəmn?ʃən,13
5,cŏndĕnsāʹtion,L.,,,n.,10.0,56,,condensation,condensation,k A n d @ n s eI S @ n,kɑndəns?ʃən,13
2,condĕʹnſe,L.,,,v.,11.0,56,,condense,condense,k @ n d E n s,kəndɛns,9
3,condĕſcĕʹnd,F.,,,v.,14.0,56,,condescend,condescend,k A n d i s E n d,kɑndisɛnd,11
5,condĕſcĕʹnſion,,,,n.,15.0,56,,condescension,condescension,k A n d @ s E n S @ n,kɑndəsɛnʃən,14
4,condĭʹtĭon,L.,,,n.,17.0,56,,condition,condition,k @ n d I S @ n,kəndɪʃən,10
5,condĭʹtĭonal,,,,a.,18.0,56,,conditional,conditional,k @ n d I S @ n @ l,kəndɪʃənəl,12
2,cŏndūʹce,L.,,,v.,20.0,56,,conduce,conduce,k @ n d u s,kəndus,8
2,cŏʹndŭct,L.,,,n.,21.0,56,,conduct,conduct,k @ n d V k t,kəndʌkt,8
2,cŏʹnd_u_ĭt,F.,,,n.,22.0,56,,conduit,conduit,k A n d u i t,kɑnduit,10
1,cōne,,,,n.,23.0,56,,cone,cone,k @U n,koʊn,4
2,cŏʹney,L.,,,n.,24.0,56,,coney,coney,k @U n i:,koʊniː,6
4,cŏnfĕʹction,L.,,,n.,26.0,56,,confection,confection,k @ n f E k S @ n,kənfɛkʃən,11
5,confĕʹctioner,,,,n.,27.0,56,,confectioner,confectioner,k @ n f E k S @ n 3:r,kənfɛkʃənɜ:r,13
5,cŏnfēʹdĕrăcy,L.,,,n.,29.0,56,,confederacy,confederacy,k @ n f E 4 3:r @ s i:,kənfɛɾɜ:rəsiː,12
2,cŏnfĕʹr,L.,,,v.,30.0,56,,confer,confer,k @ n f 3:r,kənfɜ:r,7
3,cŏʹnfĕrĕnce,,,,n.,31.0,56,,conference,conference,k A n f 3:r @ n s,kɑnfɜ:rəns,11
2,confĕʹſs,F.,,,v.,32.0,56,,confess,confess,k @ n f E s,kənfɛs,8
2,confīʹde,L.,,,v.,35.0,56,,confide,confide,k @ n f aI d,kənf?d,8
3,cŏʹnfĭdĕnce,,,,n.,36.0,56,,confidence,confidence,k A n f @ d @ n s,kɑnfədəns,11
3,cŏʹnfĭdent,,,,a.,37.0,56,,confident,confident,k A n f @ d @ n t,kɑnfədənt,10
6,cŏnfĭgūrāʹtion,L.,,,n.,38.0,56,,configuration,configuration,k @ n f I g j 3:r eI S @ n,kənfɪgjɜ:r?ʃən,14
2,cŏnfīʹne,L.,,,v.,39.0,56,,confine,confine,k @ n f aI n,kənf?n,8
3,confīʹn_e_ment,L.,,,n.,40.0,56,,confinement,confinement,k @ n f aI n m @ n t,kənf?nmənt,14
2,cŏʹnfīnes,F.,,,n.,41.0,56,,confines,confines,k A n f aI n z,kɑnf?nz,9
2,confĭʹrm,L.,,,v.,42.0,56,,confirm,confirm,k @ n f 3:r m,kənfɜ:rm,8
5,confĭrmāʹtion,,,,n.,43.0,56,,confirmation,confirmation,k A n f 3:r m eI S @ n,kɑnfɜ:rm?ʃən,13
3,confĭʹſcāte,L.,,,v.,44.0,56,,confiscate,confiscate,k A n f @ s k eI t,kɑnfəsk?t,11
5,conflăgrāʹtion,L.,,,n.,45.0,56,,conflagration,conflagration,k A n f l @ g r\ eI S @ n,kɑnfləgɹ?ʃən,14
2,cŏʹnflĭct,L.,,,n.,46.0,56,,conflict,conflict,k A n f l i k t,kɑnflikt,9
3,cŏʹnflūence,L.,,,n.,47.0,56,,confluence,confluence,k A n f l u @ n s,kɑnfluəns,11
3,cŏʹnflŭx,L.,,,n.,48.0,56,,conflux,conflux,k A n f l V k s,kɑnflʌks,8
2,cŏnfoʹrm,L.,,,v.,49.0,56,,conform,conform,k @ n f O: r\ m,kənfOːɹm,8
4,confŏrʹmĭty,L.,,,n.,52.0,56,,conformity,conformity,k @ n f O: r\ m @ 4 i:,kənfOːɹməɾiː,11
2,cŏnfrŏʹnt,L.,,,v.,53.0,56,,confront,confront,k @ n f r\ V n t,kənfɹʌnt,9
4,confūʹſion,L.,,,n.,54.0,56,,confusion,confusion,k @ n f j u Z @ n,kənfjuʒən,10
2,congeaʹl,L.,,,v.,56.0,56,,congeal,congeal,k @ n dZ i: l,kən?iːl,8
4,congĕʹnĭal,L.,,,a.,58.0,56,,congenial,congenial,k @ n dZ i: n j @ l,kən?iːnjəl,10
2,cŏʹnger,,,,n.,59.0,56,,conger,conger,k O: N 3:r,kOːŋɜ:r,7
4,conglŏʹmĕrāte,L.,,,v.,61.0,56,,conglomerate,conglomerate,k @ n g l A m 3:r @ t,kənglɑmɜ:rət,13
3,coʹngrĕgāte,L.,,,v.,63.0,56,,congregate,congregate,k A N g r\ @ g eI t,kɑŋgɹəg?t,11
5,congrĕgāʹtion,L.,,,n.,64.0,56,,congregation,congregation,k A N g r\ @ g eI S @ n,kɑŋgɹəg?ʃən,13
2,cŏʹngrĕſs,L.,,,n.,65.0,56,,congress,congress,k A N g r\ @ s,kɑŋgɹəs,9
4,congrūʹity,L.,,,n.,66.0,56,,congruity,congruity,k @ n g r\ u @ 4 i:,kəngɹuəɾiː,10
2,cŏʹnĭc,L.,,,a.,67.0,56,,conic,conic,k A n i k,kɑnik,6
2,conjoiʹn,L.,,,v.,69.0,56,,conjoin,conjoin,k A n dZ OI n,kɑn??n,8
3,conjūʹgal,L.,,,a.,71.0,56,,conjugal,conjugal,k A n dZ @ g @ l,kɑn?əgəl,9
3,cŏʹnjūgāte,L.,,,v.,72.0,56,,conjugate,conjugate,k A n dZ @ g eI t,kɑn?əg?t,10
4,conjŭʹnction,L.,,,n.,73.0,56,,conjunction,conjunction,k @ n dZ V N k S @ n,kən?ʌŋkʃən,12
2,conjūʹre,,,,v.,4.0,57,,conjure,conjure,k A n dZ 3:r,kɑn?ɜ:r,8
2,connĕʹct,L.,,,v.,6.0,57,,connect,connect,k @ n E k t,kənɛkt,8
4,connĕʹxĭon,L.,,,n.,7.0,57,,connexion,connexion,k @ n E k S @ n,kənɛkʃən,10
3,cŏnnīʹvance,,,,n.,8.0,57,,connivance,connivance,k @ n aI v @ n s,kən?vəns,11
2,cŏʹnquer,F.,,,v.,10.0,57,,conquer,conquer,k A N k 3:r,kɑŋkɜ:r,8
3,cŏʹnquĕrŏr,F.,,,n.,11.0,57,,conqueror,conqueror,k A N k 3:r 3:r,kɑŋkɜ:rɜ:r,10
2,cŏʹnquĕſt,F.,,,n.,12.0,57,,conquest,conquest,k A N k w E s t,kɑŋkwɛst,9
3,cŏʹnſcĭĕnce,F.,,,n.,14.0,57,,conscience,conscience,k A n S @ n s,kɑnʃəns,11
5,cŏnſcĭĕʹnti_o_us,,,,n.,15.0,57,,conscientious,conscientious,k A n S i: E n S @ s,kɑnʃiːɛnʃəs,16
3,cŏʹnſcĭ_o_us,,,,a.,17.0,57,,conscious,conscious,k A n S @ s,kɑnʃəs,12
3,cŏnʹſĕcrāte,L.,,,v.,19.0,57,,consecrate,consecrate,k A n s @ k r\ eI t,kɑnsəkɹ?t,11
4,conſĕʹcūtĭve,F.,,,a.,20.0,57,,consecutive,consecutive,k @ n s E k j @ 4 i v,kənsɛkjəɾiv,12
2,conſĕʹnt,F.,,,v.,21.0,57,,consent,consent,k @ n s E n t,kənsɛnt,8
3,cŏʹnſĕquĕnce,F.,,,n.,22.0,57,,consequence,consequence,k A n s @ k w @ n s,kɑnsəkwəns,12
4,cŏnſĕrvāʹtor,,,,n.,23.0,57,,conservator,conservator,k @ n s 3:r v @ 4 3:r,kənsɜ:rvəɾɜ:r,12
5,conſĕʹrvătory,,,,n.,24.0,57,,conservatory,conservatory,k @ n s 3:r v @ 4 O: r\ i:,kənsɜ:rvəɾOːɹiː,13
2,cŏnſĕʹrve,L.,,,v.,25.0,57,,conserve,conserve,k @ n s 3:r v,kənsɜ:rv,9
3,cŏnsĭʹd_e_r,L.,,,v.,26.0,57,,consider,consider,k @ n s I 4 3:r,kənsɪɾɜ:r,11
5,cŏnsĭʹdĕrable,,,,a.,27.0,57,,considerable,considerable,k @ n s I 4 3:r @ b @ l,kənsɪɾɜ:rəbəl,13
4,consĭʹdĕrāte,,,,a.,28.0,57,,considerate,considerate,k @ n s I 4 3:r @ t,kənsɪɾɜ:rət,12
6,consĭdĕrāʹtion,,,,n.,29.0,57,,consideration,consideration,k @ n s I 4 3:r eI S @ n,kənsɪɾɜ:r?ʃən,14
2,cŏnsīʹ_g_n,,,,v.,30.0,57,,consign,consign,k @ n s aI n,kəns?n,10
2,consʹĭſt,L.,,,v.,31.0,57,,consist,consist,k @ n s I s t,kənsɪst,8
3,consĭʹſtĕnce,,,,n.,32.0,57,,consistence,consistence,k @ n s I s t @ n s,kənsɪstəns,12
3,consĭʹſtent,,,,a.,33.0,57,,consistent,consistent,k @ n s I s t @ n t,kənsɪstənt,11
4,consŏʹlĭdāte,L.,,,v.,38.0,57,,consolidate,consolidate,k @ n s A l i d eI t,kənsɑlid?t,12
3,cŏʹnsŏnănt,,,,n.,40.0,57,,consonant,consonant,k A n s @ n @ n t,kɑnsənənt,10
2,cŏʹnsŏrt,F.,,,n.,41.0,57,,consort,consort,k @ n s O: r\ t,kənsOːɹt,8
4,conſpĭʹcū_o_us,L.,,,n.,42.0,57,,conspicuous,conspicuous,k @ n s p I k j u @ s,kənspɪkjuəs,14
4,cŏnſpĭʹrăcy,,,,n.,43.0,57,,conspiracy,conspiracy,k @ n s p I r\ @ s i:,kənspɪɹəsiː,11
4,cŏnſpĭʹrător,,,,n.,44.0,57,,conspirator,conspirator,k @ n s p I r\ @ 4 3:r,kənspɪɹəɾɜ:r,12
2,cŏnſpīʹre,L.,,,v.,45.0,57,,conspire,conspire,k @ n s p aI 3:r,kənsp?ɜ:r,9
3,cŏʹnſtable,F.,,,n.,46.0,57,,constable,constable,k A n s t @ b @ l,kɑnstəbəl,10
3,cŏʹnſtăncy,L.,,,n.,47.0,57,,constancy,constancy,k A n s t @ n s i:,kɑnstənsiː,10
2,cŏʹnſtănt,L.,,,a.,48.0,57,,constant,constant,k A n s t @ n t,kɑnstənt,9
5,conſtĕllāʹtĭon,,,,n.,49.0,57,,constellation,constellation,k A n s t @ l eI S @ n,kɑnstəl?ʃən,14
5,cŏnſtĕrnāʹtion,F.,,,n.,50.0,57,,consternation,consternation,k A n s t 3:r n eI S @ n,kɑnstɜ:rn?ʃən,14
3,cŏʹnſtĭpāte,L.,,,v.,51.0,57,,constipate,constipate,k A n s t @ p eI t,kɑnstəp?t,11
4,conſtĭʹtūĕnt,,,,a.,52.0,57,,constituent,constituent,k @ n s t I tS u @ n t,kənstɪ?uənt,12
3,cŏʹnſtĭtūte,L.,,,v.,53.0,57,,constitute,constitute,k A n s t @ t u t,kɑnstətut,11
5,conſtĭtūʹtion,,,,n.,54.0,57,,constitution,constitution,k A n s t @ t u S @ n,kɑnstətuʃən,13
2,conſtraiʹn,L.,,,v.,55.0,57,,constrain,constrain,k @ n s t r\ eI n,kənstɹ?n,10
2,conſtraiʹnt,,,,n.,56.0,57,,constraint,constraint,k @ n s t r\ eI n t,kənstɹ?nt,11
4,conſtrĭʹction,L.,,,n.,57.0,57,,constriction,constriction,k @ n s t r\ I k S @ n,kənstɹɪkʃən,13
4,conſtrŭʹction,F.,,,n.,58.0,57,,construction,construction,k @ n s t r\ V k S @ n,kənstɹʌkʃən,13
2,cŏʹnſtrūe,L.,,,v.,59.0,57,,construe,construe,k @ n s t r\ u,kənstɹu,9
2,cŏnſŭʹl,L.,,,n.,62.0,57,,consul,consul,k A n s @ l,kɑnsəl,7
2,cŏnſŭʹlt,L.,,,v.,63.0,57,,consult,consult,k @ n s V l t,kənsʌlt,8
2,cŏnsūʹme,L.,,,v.,64.0,57,,consume,consume,k @ n s u m,kənsum,8
3,cŏnsŭʹmmāte,,,,a.,65.0,57,,consummate,consummate,k A n s @ m @ t,kɑnsəmət,11
5,consŭmmāʹtĭon,,,,n.,66.0,57,,consummation,consummation,k A n s @ m eI S @ n,kɑnsəm?ʃən,13
4,consŭʹm_p_tion,F.,,,n.,67.0,57,,consumption,consumption,k @ n s V m p S @ n,kənsʌmpʃən,14
2,cŏʹntăct,L.,,,n.,69.0,57,,contact,contact,k A n t { k t,kɑntækt,8
4,contāʹgion,F.,,,n.,70.0,57,,contagion,contagion,k @ n t eI dZ @ n,kənt??ən,10
4,cŏntāʹgĭ_o_us,,,,a.,71.0,57,,contagious,contagious,k @ n t eI dZ @ s,kənt??əs,13
2,contaiʹn,,,,v.,72.0,57,,contain,contain,k @ n t eI n,kənt?n,8
4,contăʹmĭnāte,L.,,,v.,2.0,58,,contaminate,contaminate,k @ n t { m @ n eI t,kəntæmən?t,12
3,contĕʹmplāte,L.,,,v.,4.0,58,,contemplate,contemplate,k A n t @ m p l eI t,kɑntəmpl?t,12
5,contĕmplaʹtion,L.,,,n.,5.0,58,,contemplation,contemplation,k A n t @ m p l eI S @ n,kɑntəmpl?ʃən,14
4,cŏntĕʹmplătive,,,,a.,6.0,58,,contemplative,contemplative,k @ n t E m p l @ 4 i v,kəntɛmpləɾiv,14
5,contĕʹmpŏrăry,,,,n.,7.0,58,,contemporary,contemporary,k @ n t E m p 3:r E r\ i:,kəntɛmpɜ:rɛɹiː,13
2,contĕʹmpt,L.,,,v.,8.0,58,,contempt,contempt,k @ n t E m p t,kəntɛmpt,9
4,contĕʹmptĭble,L.,,,a.,9.0,58,,contemptible,contemptible,k @ n t E m p t @ b @ l,kəntɛmptəbəl,13
2,contĕʹnd,L.,,,v.,11.0,58,,contend,contend,k @ n t E n d,kəntɛnd,8
2,contĕʹnt,,,,v.,12.0,58,,content,content,k A n t E n t,kɑntɛnt,8
3,contĕʹntment,,,,n.,13.0,58,,contentment,contentment,k @ n t E n t m @ n t,kəntɛntmənt,12
4,contĕʹntion,L.,,,n.,14.0,58,,contention,contention,k @ n t E n S @ n,kəntɛnʃən,11
4,contĕʹnti_o_us,,,,a.,15.0,58,,contentious,contentious,k @ n t E n S @ s,kəntɛnʃəs,14
2,contĕʹnts,L.,,,n.,16.0,58,,contents,contents,k A n t E n t s,kɑntɛnts,9
2,cŏʹnteſt,F.,,,n.,17.0,58,,contest,contest,k A n t E s t,kɑntɛst,8
2,cŏʹntĕxt,L.,,,n.,18.0,58,,context,context,k A n t E k s t,kɑntɛkst,8
4,cŏntĭʹgū_o_us,L.,,,a.,20.0,58,,contiguous,contiguous,k @ n t I g j u @ s,kəntɪgjuəs,13
3,cŏʹntĭnent,L.,,,a.,22.0,58,,continent,continent,k A n t @ n @ n t,kɑntənənt,10
3,contĭʹngent,F.,,,a.,23.0,58,,contingent,contingent,k @ n t I n dZ @ n t,kəntɪn?ənt,11
4,contĭʹnūal,,,,a.,24.0,58,,continual,continual,k @ n t I n j u @ l,kəntɪnjuəl,10
3,cŏntĭʹnūe,F.,,,v.,25.0,58,,continue,continue,k @ n t I n j u,kəntɪnju,9
4,contĭʹnūed,,,,a.,26.0,58,,continued,continued,k @ n t I n j u d,kəntɪnjud,10
5,continūʹĭty,F.,,,n.,27.0,58,,continuity,continuity,k A n t @ n u @ 4 i:,kɑntənuəɾiː,11
3,cŏʹntrăbănd,F.,,,a.,30.0,58,,contraband,contraband,k A n t r\ @ b { n d,kɑntɹəbænd,11
2,cŏntrăʹct,F.,,,n.,31.0,58,,contract,contract,k A n t r\ { k t,kɑntɹækt,9
4,cŏntrăʹction,F.,,,n.,32.0,58,,contraction,contraction,k @ n t r\ { k S @ n,kəntɹækʃən,12
3,cŏntrādiʹct,L.,,,v.,33.0,58,,contradict,contradict,k A n t r\ @ d I k t,kɑntɹədɪkt,11
5,contrādĭʹction,,,,n.,34.0,58,,contradiction,contradiction,k A n t r\ @ d I k S @ n,kɑntɹədɪkʃən,14
5,contrādĭʹctŏry,,,,a.,35.0,58,,contradictory,contradictory,k A n t r\ @ d I k t 3:r i:,kɑntɹədɪktɜ:riː,14
6,contrādĭstiʹnction,L.,,,n.,36.0,58,,contradistinction,contradistinction,k A n t r\ @ d i s t I N k S @ n,kɑntɹədistɪŋkʃən,18
3,cŏʹntrăry,L.,,,a.,38.0,58,,contrary,contrary,k A n t r\ E r\ i:,kɑntɹɛɹiː,9
2,cŏʹntrăſt,L.,,,n.,39.0,58,,contrast,contrast,k A n t r\ { s t,kɑntɹæst,9
5,contrāvĕʹntion,F.,,,n.,41.0,58,,contravention,contravention,k A n t r\ @ v E n tS @ n,kɑntɹəvɛn?ən,14
3,contrĭʹbūte,L.,,,v.,42.0,58,,contribute,contribute,k @ n t r\ I b j u t,kəntɹɪbjut,11
5,contrĭbūʹtion,L.,,,n.,43.0,58,,contribution,contribution,k A n t r\ @ b j u S @ n,kɑntɹəbjuʃən,13
2,cŏʹntrīte,F.,,,v.,44.0,58,,contrite,contrite,k @ n t r\ aI t,kəntɹ?t,9
4,contrĭʹtion,,,,n.,45.0,58,,contrition,contrition,k @ n t r\ I S @ n,kəntɹɪʃən,11
3,contrīʹvănce,F.,,,n.,46.0,58,,contrivance,contrivance,k @ n t r\ aI v @ n s,kəntɹ?vəns,12
2,contrīʹve,F.,,,v.,47.0,58,,contrive,contrive,k @ n t r\ aI v,kəntɹ?v,9
2,contrŏʹl,L.,,,v.,48.0,58,,control,control,k @ n t r\ @U l,kəntɹoʊl,8
5,contrŏvĕʹrsĭal,,,,a.,50.0,58,,controversial,controversial,k A n t r\ @ v 3:r S @ l,kɑntɹəvɜ:rʃəl,14
4,coʹntrŏvĕrſy,L.,,,n.,51.0,58,,controversy,controversy,k A n t r\ @ v 3:r s i:,kɑntɹəvɜ:rsiː,12
4,contūʹsion,L.,,,n.,57.0,58,,contusion,contusion,k @ n t u Z @ n,kəntuʒən,10
2,convēʹne,L.,,,v.,58.0,58,,convene,convene,k @ n v i: n,kənviːn,8
4,convĕʹnĭĕnce,,,,n.,59.0,58,,convenience,convenience,k @ n v i: n j @ n s,kənviːnjəns,12
4,cŏnvĕʹnĭĕnt,L.,,,a.,60.0,58,,convenient,convenient,k @ n v i: n j @ n t,kənviːnjənt,11
2,cŏʹnvent,F.,,,n.,61.0,58,,convent,convent,k A n v @ n t,kɑnvənt,8
4,convĕʹntion,L.,,,n.,63.0,58,,convention,convention,k @ n v E n S @ n,kənvɛnʃən,11
4,convĕʹrgent,L.,,,a.,64.0,58,,convergent,convergent,k @ n v 3:r dZ @ n t,kənvɜ:r?ənt,11
3,convĕʹrſant,L.,,,a.,66.0,58,,conversant,conversant,k @ n v 3:r s @ n t,kənvɜ:rsənt,11
5,convĕrsaʹtion,F.,,,n.,67.0,58,,conversation,conversation,k A n v 3:r s eI S @ n,kɑnvɜ:rs?ʃən,13
2,cŏʹnvĕrſe,L.,,,n.,68.0,58,,converse,converse,k A n v 3:r s,kɑnvɜ:rs,9
4,cŏnvĕʹrsion,,,,n.,69.0,58,,conversion,conversion,k @ n v 3:r Z @ n,kənvɜ:rʒən,11
2,cŏʹnvert,,,,n.,70.0,58,,convert,convert,k A n v 3:r t,kɑnvɜ:rt,8
4,cŏnvĕʹrtĭble,,,,a.,71.0,58,,convertible,convertible,k @ n v 3:r 4 @ b @ l,kənvɜ:rɾəbəl,12
2,cŏʹnvĕx,L.,,,a.,72.0,58,,convex,convex,k @ n v E k s,kənvɛks,7
2,cŏnveʹy,F.,,,v.,3.0,59,,convey,convey,k @ n v eI,kənv?,7
3,conveʹyănce,F.,,,n.,4.0,59,,conveyance,conveyance,k @ n v eI @ n s,kənv?əns,11
2,cŏʹnvĭct,L.,,,n.,6.0,59,,convict,convict,k A n v i k t,kɑnvikt,8
4,cŏnvĭʹction,L.,,,n.,7.0,59,,conviction,conviction,k @ n v I k S @ n,kənvɪkʃən,11
2,cŏnvĭʹnce,L.,,,v.,8.0,59,,convince,convince,k @ n v I n s,kənvɪns,9
3,conŭʹndrŭm,,,,n.,9.0,59,,conundrum,conundrum,k @ n V n d r\ @ m,kənʌndɹəm,10
5,cŏnvŏcāʹtion,L.,,,n.,10.0,59,,convocation,convocation,k A n v @ k eI S @ n,kɑnvək?ʃən,12
2,coʹnvoy,F.,,,n.,12.0,59,,convoy,convoy,k A n v OI,kɑnv?,7
4,cŏnvŭʹlſion,L.,,,n.,13.0,59,,convulsion,convulsion,k @ n v V l S @ n,kənvʌlʃən,11
1,coo,,,,v.,14.0,59,,coo,coo,k u,ku,3
1,cook,,,,n.,15.0,59,,cook,cook,k U k,kʊk,4
1,cool,,,,v.,17.0,59,,cool,cool,k u l,kul,4
2,cooʹler,,,,n.,18.0,59,,cooler,cooler,k u l 3:r,kulɜ:r,7
1,coop,,,,n.,21.0,59,,coop,coop,k u p,kup,4
2,coоpʹ_e_r,,,,n.,22.0,59,,cooper,cooper,k u p 3:r,kupɜ:r,9
1,coot,,,,n.,25.0,59,,coot,coot,k u t,kut,4
3,cōpăʹrtner,,,,n.,26.0,59,,copartner,copartner,k @U p A r\ t n 3:r,koʊpɑɹtnɜ:r,10
1,cōpe,,,,n.,27.0,59,,cope,cope,k @U p,koʊp,4
4,cŏpĕʹrnĭcan,,,,n.,28.0,59,,copernican,copernican,k @ p 3:r n @ k @ n,kəpɜ:rnəkən,11
3,cōʹpĭ_o_us,L.,,,a.,29.0,59,,copious,copious,k @U p i: @ s,koʊpiːəs,10
2,cŏʹpp_e_l,,,,n.,31.0,59,,coppel,coppel,k A p @ l,kɑpəl,9
2,cŏʹpp_e_r,,,,n.,32.0,59,,copper,copper,k A p 3:r,kɑpɜ:r,9
2,cŏʹpy,F.,,,n.,36.0,59,,copy,copy,k A p i:,kɑpiː,5
3,cŏʹrăcle,,,,n.,39.0,59,,coracle,coracle,k O: r\ @ k @ l,kOːɹəkəl,8
2,cŏʹral,F.,,,n.,40.0,59,,coral,coral,k O: r\ @ l,kOːɹəl,6
1,cord,F.,,,n.,41.0,59,,cord,cord,k O: r\ d,kOːɹd,4
2,cŏʹrdage,,,,n.,42.0,59,,cordage,cordage,k O: r\ 4 @ dZ,kOːɹɾə?,8
3,cŏʹrdĭal,F.,,,n.,44.0,59,,cordial,cordial,k O: r\ dZ @ l,kOːɹ?əl,8
1,cōre,L.,,,n.,46.0,59,,core,core,k O: r\,kOːɹ,4
4,cŏrĭaʹnd_e_r,G.,,,n.,47.0,59,,coriander,coriander,k O: r\ i: { n d 3:r,kOːɹiːændɜ:r,12
4,cŏrĭʹnthĭan,,,,a.,48.0,59,,corinthian,corinthian,k 3:r I n T i: @ n,kɜ:rɪnθiːən,11
1,cork,,,,n.,49.0,59,,cork,cork,k O: r\ k,kOːɹk,4
3,cŏʹrmŏrănt,F.,,,n.,50.0,59,,cormorant,cormorant,k O: r\ m 3:r @ n t,kOːɹmɜ:rənt,10
1,corn,,,,n.,51.0,59,,corn,corn,k O: r\ n,kOːɹn,4
2,cŏʹrner,,,,n.,53.0,59,,corner,corner,k O: r\ n 3:r,kOːɹnɜ:r,7
2,cŏʹrnet,F.,,,n.,54.0,59,,cornet,cornet,k O: r\ n E t,kOːɹnɛt,7
4,cŏrŏʹllăry,L.,,,n.,58.0,59,,corollary,corollary,k O: r\ @ l E r\ i:,kOːɹəlɛɹiː,10
3,cŏrōʹnā,L.,,,n.,59.0,59,,corona,corona,k 3:r @U n @,kɜ:roʊnə,7
5,cŏrŏnāʹtion,L.,,,n.,60.0,59,,coronation,coronation,k O: r\ @ n eI S @ n,kOːɹən?ʃən,11
3,cŏʹrŏner,,,,n.,61.0,59,,coroner,coroner,k O: r\ @ n 3:r,kOːɹənɜ:r,8
3,cŏʹrŏnet,,,,n.,62.0,59,,coronet,coronet,k O: r\ @ n E t,kOːɹənɛt,8
3,cŏʹrpŏral,F.,,,a.,63.0,59,,corporal,corporal,k O: r\ p 3:r @ l,kOːɹpɜ:rəl,9
5,cŏrpŏraʹtion,L.,,,n.,64.0,59,,corporation,corporation,k O: r\ p 3:r eI S @ n,kOːɹpɜ:r?ʃən,12
1,corps,F.,,,n.,66.0,59,,corps,corps,k O: r\,kOːɹ,5
3,cŏʹrpūlent,,,,a.,68.0,59,,corpulent,corpulent,k O: r\ p j @ l @ n t,kOːɹpjələnt,10
3,cŏʹrpŭſcl_e_s,L.,,,n.,69.0,59,,corpuscles,corpuscles,k O: r\ p V s @ l z,kOːɹpʌsəlz,13
2,cŏrrĕct,L.,nbSyll>1 et pas d'accent tonic,,v.,70.0,59,,correct,correct,k 3:r E k t,kɜ:rɛkt,7
4,cŏrrĕʹction,,,,n.,71.0,59,,correction,correction,k 3:r E k S @ n,kɜ:rɛkʃən,11
3,cŏrrĕſpoʹnd,F.,,,v.,73.0,59,,correspond,correspond,k O: r\ @ s p A n d,kOːɹəspɑnd,11
4,cŏrrĕſpŏʹndĕnce,F.,,,n.,2.0,60,,correspondence,correspondence,k O: r\ @ s p A n d @ n s,kOːɹəspɑndəns,15
4,cŏrrĕſpŏʹndent,,,,a.,3.0,60,,correspondent,correspondent,k O: r\ @ s p A n d @ n t,kOːɹəspɑndənt,14
3,cŏʹrridor,F.,,,n.,4.0,60,,corridor,corridor,k O: r\ @ 4 3:r,kOːɹəɾɜ:r,9
